match_type,venue,city,toss_winner,toss_decision,team1,team2,overs_limit,balls_per_over,first_innings_runs,first_innings_wickets,first_innings_extras,first_innings_boundaries,first_innings_overs,second_innings_runs,second_innings_wickets,second_innings_extras,second_innings_boundaries,second_innings_overs,season,player_of_the_match,result
"ODI","Rawalpindi Cricket Stadium","Rawalpindi","Bangladesh","bat","Bangladesh","Pakistan","50","6","222","8","20","14","51.5","226","5","15","15","51.1","2003","Yousuf Youhana","Pakistan"
"ODI","National Stadium, Karachi","Karachi","Pakistan","bat","Pakistan","Bangladesh","50","6","302","5","10","34","51","244","7","20","16","52.5","2003","Yasir Hameed","Pakistan"
"ODI","MA Aziz Stadium, Chittagong","Chattogram","Bangladesh","bat","Bangladesh","England","50","6","143","10","29","12","46.4","144","3","8","23","25.5","2003/04","A Flintoff","England"
"ODI","Bangabandhu National Stadium, Dhaka","Dhaka","Bangladesh","bat","Bangladesh","England","50","6","134","9","14","13","51.2","137","3","10","22","28.2","2003/04","A Flintoff","England"
"ODI","Bangabandhu National Stadium, Dhaka","Dhaka","Bangladesh","bat","Bangladesh","England","50","6","182","10","15","17","50.2","185","3","7","20","40.1","2003/04","A Flintoff","England"
"ODI","Harare Sports Club","Harare","Bangladesh","bat","Bangladesh","Zimbabwe","50","6","183","10","16","12","50.5","185","7","15","24","44.1","2003/04","Khaled Mahmud","Zimbabwe"
"ODI","Arnos Vale Ground","Kingstown","West Indies","field","Bangladesh","West Indies","50","6","144","8","26","4","52.3","145","9","12","11","47.4","2004","IDR Bradshaw","West Indies"
"ODI","Arnos Vale Ground","Kingstown","Bangladesh","field","West Indies","Bangladesh","50","6","124","7","4","6","25","101","8","6","3","25.3","2004","DR Smith","West Indies"
"ODI","National Cricket Stadium","St George's","Bangladesh","bat","Bangladesh","West Indies","50","6","118","7","11","6","25.5","119","3","9","10","25","2004","DS Smith","West Indies"
"ODI","MA Aziz Stadium","Chattogram","New Zealand","bat","New Zealand","Bangladesh","50","6","224","10","18","18","51","86","10","9","11","33","2004/05","CL Cairns","New Zealand"
"ODI","MA Aziz Stadium","Chattogram","Bangladesh","field","India","Bangladesh","50","6","245","8","18","25","51.5","234","8","26","20","53.1","2004/05","M Kaif","India"
"ODI","Bangabandhu National Stadium","Dhaka","India","bat","India","Bangladesh","50","6","348","5","11","43","51.1","257","9","31","25","52.5","2004/05","V Sehwag","India"
