match_type,venue,city,toss_winner,toss_decision,team1,team2,overs_limit,balls_per_over,first_innings_runs,first_innings_wickets,first_innings_extras,first_innings_boundaries,first_innings_overs,second_innings_runs,second_innings_wickets,second_innings_extras,second_innings_boundaries,second_innings_overs,season,player_of_the_match,result
"ODI","McLean Park","Napier","New Zealand","bat","New Zealand","Bangladesh","50","6","336","9","13","39","51.4","190","10","15","21","45","2009/10","JDP Oram","New Zealand"
"ODI","University Oval","Dunedin","New Zealand","field","New Zealand","Bangladesh","50","6","183","8","8","22","50.5","185","5","14","23","29.1","2009/10","LRPL Taylor","New Zealand"
"ODI","AMI Stadium","Christchurch","New Zealand","field","New Zealand","Bangladesh","50","6","241","9","21","25","51.4","244","7","10","30","45.3","2009/10","MJ Guptill","New Zealand"
"Test","Seddon Park","Hamilton","Bangladesh","field","New Zealand","Bangladesh","undefined","6","553","7","24","62","137.1","408","10","12","66","98","2009/10","MJ Guptill","New Zealand"
"Test","Lord's","London","Bangladesh","field","England","Bangladesh","undefined","6","505","10","31","46","127.5","282","10","6","38","93.4","2010","ST Finn","England"
"Test","Old Trafford","Manchester","England","bat","England","Bangladesh","undefined","6","419","10","17","46","122.3","216","10","22","23","55.2","2010","IR Bell","England"
"ODI","Trent Bridge","Nottingham","Bangladesh","bat","England","Bangladesh","50","6","250","9","19","23","51.5","251","4","19","21","46","2010","IR Bell","England"
"ODI","County Ground","Bristol","England","field","England","Bangladesh","50","6","236","7","19","17","52.1","231","10","20","20","50.5","2010","Mashrafe Mortaza","Bangladesh"
"ODI","Edgbaston","Birmingham","Bangladesh","field","England","Bangladesh","50","6","347","7","11","42","50.5","203","10","12","26","46.2","2010","AJ Strauss","England"
"ODI","Shere Bangla National Stadium","Mirpur","England","field","Bangladesh","England","50","6","228","10","10","24","46.4","229","4","7","23","46.2","2009/10","Tamim Iqbal","England"
"ODI","Shere Bangla National Stadium","Mirpur","England","field","Bangladesh","England","50","6","260","6","14","20","51.1","261","8","9","25","49.1","2009/10","EJG Morgan","England"
"ODI","Zohur Ahmed Chowdhury Stadium","Chittagong","Bangladesh","field","Bangladesh","England","50","6","284","5","13","28","51","239","9","17","21","51.3","2009/10","C Kieswetter","England"
"Test","Zohur Ahmed Chowdhury Stadium","Chittagong","Bangladesh","field","Bangladesh","England","undefined","6","599","6","29","66","140.5","296","10","15","48","91","2009/10","GP Swann","England"
"Test","Shere Bangla National Stadium","Mirpur","Bangladesh","bat","Bangladesh","England","undefined","6","419","10","13","69","117.3","496","10","29","53","174.5","2009/10","Shakib Al Hasan","England"
"ODI","Shere Bangla National Stadium","Mirpur","Bangladesh","field","Bangladesh","India","50","6","370","4","20","36","52.3","283","9","24","21","51.4","2010/11","V Sehwag","India"
"ODI","Shere Bangla National Stadium","Mirpur","Bangladesh","bat","Bangladesh","Ireland","50","6","205","10","11","18","50.3","178","10","13","14","45.3","2010/11","Tamim Iqbal","Bangladesh"
